50.0 50.0 61.0 
50.285 49.0296 58.9776 
52.0028 50.5162 53.6128 
57.1404 47.8369 53.3902 
51.1073 49.4012 57.9941 
46.1825 48.3042 52.9268 
45.7429 46.9106 51.9382 
45.9367 49.6188 52.8743 
41.2591 51.7765 48.8367 
48.0426 57.0439 58.3234 
51.5294 67.6646 66.8947 
57.0269 66.396 65.1522 
52.1359 48.665 56.5748 
56.8285 70.0778 52.873 
61.1946 72.6958 51.9156 
57.1865 79.4666 52.6861 
41.2479 55.47 46.3761 
30.0 51.0 49.0 
64.0 77.0 46.0 
70.0 75.0 56.0 
47.0 78.0 74.0 
49.6789 70.8307 74.1162 
50.2263 59.5815 60.8773 
44.2126 64.0453 59.8965 
50.0 50.0 50.0 
52.1868 53.7216 48.3953 
61.0743 44.1406 53.0692 
58.0882 48.4009 52.8598 
41.2083 40.5053 47.9053 
45.0 46.0 33.0 
63.868 42.936 49.3409 
65.0 40.0 58.0 
63.4214 72.6488 70.104 
62.0 82.0 73.0 
45.4689 45.9145 50.2321 
46.2505 44.4732 55.2761 
66.0 40.0 47.0 
66.0 44.0 46.0 
44.3836 45.5104 48.4075 
53.0 33.0 41.0 
40.0 67.0 64.0 
40.0 79.0 58.0 
55.0 84.0 55.0 
61.0 90.0 49.0 
60.6713 71.9534 68.718 
67.0 64.0 63.0 
38.0 36.0 47.0 
41.0 40.0 48.0 
39.0 60.0 35.0 
43.0 63.0 48.0 
71.0 74.0 72.0 
79.0 82.0 69.0 
52.4045 63.3703 63.3513 
59.0 55.0 72.0 
50.6613 70.508 71.5622 
51.0 74.0 66.0 
60.0 51.0 52.0 
69.0 52.0 53.0 
47.0 31.0 58.0 
48.0 46.0 69.0 
55.0 61.0 45.0 
50.0 53.0 42.0 
67.642 74.5399 69.8917 
67.0 70.0 82.0 
52.0 73.0 81.0 
44.0 70.0 77.0 
59.2217 49.1065 52.9982 
63.0 51.0 42.0 
