0 1 8330.0 1.23766 
12 2 735.0 0.287511 
12 3 1470.0 0.420545 
1 4 3185.0 0.739372 
1 5 5145.0 1.12033 
5 6 1470.0 0.49071 
5 7 3675.0 0.986146 
7 8 735.0 0.41956 
7 9 2940.0 0.954357 
52 10 980.0 0.390535 
52 11 1225.0 0.575347 
4 12 2205.0 0.490709 
4 13 980.0 0.753819 
13 14 490.0 0.274224 
13 15 490.0 0.337056 
8 16 490.0 0.287552 
8 17 245.0 0.188958 
14 18 245.0 0.13117 
14 19 245.0 0.167015 
54 20 245.0 0.145443 
54 21 490.0 0.193698 
9 22 2450.0 0.774729 
9 23 490.0 0.365582 
2 24 245.0 0.0696914 
2 25 490.0 0.263739 
3 26 735.0 0.280452 
3 27 735.0 0.228618 
38 28 490.0 0.157849 
38 29 245.0 0.258275 
26 30 490.0 0.169368 
26 31 245.0 0.126247 
44 32 735.0 0.35034 
44 33 245.0 0.184179 
6 34 980.0 0.377085 
6 35 490.0 0.361686 
30 36 245.0 0.072288 
30 37 245.0 0.0686978 
34 38 735.0 0.27693 
34 39 245.0 0.294154 
23 40 245.0 0.11018 
23 41 245.0 0.262032 
15 42 245.0 0.0927379 
15 43 245.0 0.197433 
11 44 980.0 0.487955 
11 45 245.0 0.175451 
28 46 245.0 0.0938249 
28 47 245.0 0.00928559 
16 48 245.0 0.208417 
16 49 245.0 0.132252 
62 50 245.0 0.0669901 
62 51 245.0 0.227981 
22 52 2205.0 0.698528 
22 53 245.0 0.249257 
10 54 735.0 0.310366 
10 55 245.0 0.10748 
66 56 245.0 0.0381303 
66 57 245.0 0.170716 
35 58 245.0 0.230462 
35 59 245.0 0.233018 
25 60 245.0 0.142465 
25 61 245.0 0.113794 
32 62 490.0 0.255883 
32 63 245.0 0.212642 
21 64 245.0 0.126923 
21 65 245.0 0.107529 
27 66 490.0 0.146681 
27 67 245.0 0.204226 
